acct_name,this_year_amt,this_year_percent,last_year_amt,last_year_percent,report_name,company_id,company_name,creation_date,seq,stock
歸屬於母公司業主之權益合計,"7,399,142",41.55,"7,247,192",38.65,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,61,1201
非控制權益,"8,286",0.05,"8,490",0.05,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,62,1201
權益總額,"7,407,428",41.59,"7,255,682",38.69,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,63,1201
負債及權益總計,"17,809,392",100.00,"18,753,145",100.00,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,64,1201
待註銷股本股數（單位：股）,0,,0,,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,65,1201
預收股款（權益項下）之約當發行股數（單位：股）,0,,0,,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,66,1201
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0,,0,,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,67,1201
流動資產,,,,,BalanceSheet,7067309,味王股份有限公司,2024-07-13,1,1203
現金及約當現金,"1,917,509",18.56,"1,458,936",14.42,BalanceSheet,7067309,味王股份有限公司,2024-07-13,2,1203
透過損益按公允價值衡量之金融資產－流動,0,0.00,0,0.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,3,1203
透過其他綜合損益按公允價值衡量之金融資產－流動,0,0.00,0,0.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,4,1203
按攤銷後成本衡量之金融資產－流動,"279,477",2.71,"329,042",3.25,BalanceSheet,7067309,味王股份有限公司,2024-07-13,5,1203
應收票據淨額,"101,267",0.98,"88,369",0.87,BalanceSheet,7067309,味王股份有限公司,2024-07-13,6,1203
應收帳款淨額,"372,972",3.61,"370,645",3.66,BalanceSheet,7067309,味王股份有限公司,2024-07-13,7,1203
應收帳款－關係人淨額,1,0.00,0,0.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,8,1203
其他應收款－關係人淨額,0,0.00,0,0.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,9,1203
本期所得稅資產,530,0.01,"4,264",0.04,BalanceSheet,7067309,味王股份有限公司,2024-07-13,10,1203
存貨,"1,689,171",16.35,"2,054,417",20.30,BalanceSheet,7067309,味王股份有限公司,2024-07-13,11,1203
預付款項,0,0.00,0,0.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,12,1203
其他流動資產,"391,999",3.79,"487,227",4.82,BalanceSheet,7067309,味王股份有限公司,2024-07-13,13,1203
流動資產合計,"4,752,926",46.01,"4,792,900",47.37,BalanceSheet,7067309,味王股份有限公司,2024-07-13,14,1203
非流動資產,,,,,BalanceSheet,7067309,味王股份有限公司,2024-07-13,15,1203
透過損益按公允價值衡量之金融資產－非流動,0,0.00,0,0.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,16,1203
透過其他綜合損益按公允價值衡量之金融資產－非流動,"292,273",2.83,"274,216",2.71,BalanceSheet,7067309,味王股份有限公司,2024-07-13,17,1203
按攤銷後成本衡量之金融資產－非流動,"8,629",0.08,"61,441",0.61,BalanceSheet,7067309,味王股份有限公司,2024-07-13,18,1203
採用權益法之投資,"24,237",0.23,"21,730",0.21,BalanceSheet,7067309,味王股份有限公司,2024-07-13,19,1203
不動產、廠房及設備,"3,065,248",29.67,"2,973,502",29.39,BalanceSheet,7067309,味王股份有限公司,2024-07-13,20,1203
使用權資產,"98,538",0.95,"90,473",0.89,BalanceSheet,7067309,味王股份有限公司,2024-07-13,21,1203
投資性不動產淨額,"1,720,434",16.66,"1,577,609",15.59,BalanceSheet,7067309,味王股份有限公司,2024-07-13,22,1203
遞延所得稅資產,"17,093",0.17,"22,414",0.22,BalanceSheet,7067309,味王股份有限公司,2024-07-13,23,1203
其他非流動資產,"350,079",3.39,"304,450",3.01,BalanceSheet,7067309,味王股份有限公司,2024-07-13,24,1203
非流動資產合計,"5,576,531",53.99,"5,325,835",52.63,BalanceSheet,7067309,味王股份有限公司,2024-07-13,25,1203
資產總額,"10,329,457",100.00,"10,118,735",100.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,26,1203
流動負債,,,,,BalanceSheet,7067309,味王股份有限公司,2024-07-13,27,1203
短期借款,"813,000",7.87,"953,000",9.42,BalanceSheet,7067309,味王股份有限公司,2024-07-13,28,1203
應付票據,"56,377",0.55,"41,272",0.41,BalanceSheet,7067309,味王股份有限公司,2024-07-13,29,1203
應付帳款,"418,048",4.05,"461,374",4.56,BalanceSheet,7067309,味王股份有限公司,2024-07-13,30,1203
其他應付款,"249,276",2.41,"261,982",2.59,BalanceSheet,7067309,味王股份有限公司,2024-07-13,31,1203
本期所得稅負債,"229,260",2.22,"121,740",1.20,BalanceSheet,7067309,味王股份有限公司,2024-07-13,32,1203
負債準備－流動,0,0.00,0,0.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,33,1203
租賃負債－流動,"10,953",0.11,"12,388",0.12,BalanceSheet,7067309,味王股份有限公司,2024-07-13,34,1203
其他流動負債,"85,996",0.83,"93,138",0.92,BalanceSheet,7067309,味王股份有限公司,2024-07-13,35,1203
流動負債合計,"1,862,910",18.03,"1,944,894",19.22,BalanceSheet,7067309,味王股份有限公司,2024-07-13,36,1203
非流動負債,,,,,BalanceSheet,7067309,味王股份有限公司,2024-07-13,37,1203
透過損益按公允價值衡量之金融負債－非流動,0,0.00,0,0.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,38,1203
按攤銷後成本衡量之金融負債－非流動,0,0.00,0,0.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,39,1203
應付公司債,0,0.00,0,0.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,40,1203
長期借款,"126,000",1.22,0,0.00,BalanceSheet,7067309,味王股份有限公司,2024-07-13,41,1203
負債準備－非流動,"178,480",1.73,"245,853",2.43,BalanceSheet,7067309,味王股份有限公司,2024-07-13,42,1203
遞延所得稅負債,"1,082,009",10.47,"1,098,481",10.86,BalanceSheet,7067309,味王股份有限公司,2024-07-13,43,1203
租賃負債－非流動,"92,606",0.90,"82,190",0.81,BalanceSheet,7067309,味王股份有限公司,2024-07-13,44,1203
其他非流動負債,"21,139",0.20,"24,968",0.25,BalanceSheet,7067309,味王股份有限公司,2024-07-13,45,1203
非流動負債合計,"1,500,234",14.52,"1,451,492",14.34,BalanceSheet,7067309,味王股份有限公司,2024-07-13,46,1203
負債總額,"3,363,144",32.56,"3,396,386",33.57,BalanceSheet,7067309,味王股份有限公司,2024-07-13,47,1203
歸屬於母公司業主之權益,,,,,BalanceSheet,7067309,味王股份有限公司,2024-07-13,48,1203
股本,,,,,BalanceSheet,7067309,味王股份有限公司,2024-07-13,49,1203
普通股股本,"2,400,000",23.23,"2,400,000",23.72,BalanceSheet,7067309,味王股份有限公司,2024-07-13,50,1203
股本合計,"2,400,000",23.23,"2,400,000",23.72,BalanceSheet,7067309,味王股份有限公司,2024-07-13,51,1203
資本公積,,,,,BalanceSheet,7067309,味王股份有限公司,2024-07-13,52,1203
資本公積－庫藏股票交易,"46,016",0.45,"43,493",0.43,BalanceSheet,7067309,味王股份有限公司,2024-07-13,53,1203
